Young & Old
CDKN2B
MFGE8
METTL9
HLA-DQA1
BIRC3
APAF1
RRM2B
TGFBR3
GBP4
LDLR
KREMEN1
BACH2
PHGDH
CELSR2
UBE2J1
CD274
FGFBP2
IL6
AKT3
SLC16A10
FCGBP
PSME3
POLR2B
CTSB
RPL22
MYD88
FURIN
SLC22A4
KCNH7
HLA-DRB1
FLT3
DPEP2
PRKCZ
SIRPG
SCML1
MDM2
PRSS23
SLC7A5
UBE2O
DDX58
NELL2
GZMH
MAPK14
IGF1R
ARAP2
SNX3
TLR5
UPP1
JAK3
GBP5
APOE
UBOX5
CASP5
SLC26A8
GABARAP
CDKN2A
AIM2
FCGR1A
ATF7IP2
IL1B
ITM2C
FCRL6
DAPK2
ABLIM1
IFI16
LDHB
CD2AP
FAM102A
LBH
IGF2R
RHOC
PPP2R2B
NKG7
