RF & SVM & MeanDifference,RF & SVM,RF & MeanDifference
CDKN1A,IFI16,SERPINE1
CCL3,,MAPK14
NKG7,,THBS1
AIM2,,FLT3
FCRL6,,PRR5L
TGFBR3,,MDM2
JUN,,KIR2DL1
CXCL8,,SERPINB2
HSPA1B,,GZMH
KIR2DL4,,FCGR1A
KREMEN1,,CASP5
KCNH7,,
TLR5,,
PPP2R2B,,
IFNG,,
KIR2DL3,,
PRSS23,,
SLC26A8,,
SLC22A4,,
APOE,,
