	age
GTEX-14DAQ-0005-SM-5NQ7B	Old (60-79)
GTEX-14E6C-0005-SM-5O98N	Young (20-49)
GTEX-14E6E-0006-SM-5MR5N	Young (20-49)
GTEX-14E7W-0006-SM-5N9GG	Old (60-79)
GTEX-14H4A-0006-SM-5N9E3	Young (20-49)
GTEX-14ICK-0006-SM-5NQB5	Young (20-49)
GTEX-14ICL-0006-SM-5SIAB	Young (20-49)
GTEX-14JFF-0005-SM-7P8RF	Old (60-79)
GTEX-14JG1-0006-SM-7SB6P	Young (20-49)
GTEX-14JG6-0005-SM-9JGFV	Young (20-49)
GTEX-14JIY-0005-SM-7MXVF	Old (60-79)
GTEX-14LLW-0006-SM-9QEGG	Old (60-79)
GTEX-14LZ3-0005-SM-7MXUG	Old (60-79)
GTEX-14PHW-0005-SM-9KNTK	Old (60-79)
GTEX-14PHY-0006-SM-7SB7I	Old (60-79)
GTEX-14PII-0005-SM-7RHFV	Old (60-79)
GTEX-14PJ4-0006-SM-7RHFY	Old (60-79)
GTEX-14PJ5-0005-SM-9MQLO	Old (60-79)
GTEX-14PJ6-0006-SM-7P8RE	Old (60-79)
GTEX-14PJN-0005-SM-9JGGF	Young (20-49)
GTEX-14PJO-0005-SM-9JGGY	Old (60-79)
GTEX-14PJP-0005-SM-7P8OM	Young (20-49)
GTEX-14PK6-0006-SM-7PC1L	Old (60-79)
GTEX-14PKU-0005-SM-9KNTL	Young (20-49)
GTEX-14PKV-0006-SM-9MQL3	Young (20-49)
GTEX-14PN3-0006-SM-7SB6O	Old (60-79)
GTEX-14XAO-0006-SM-7RHFX	Old (60-79)
GTEX-15CHC-0006-SM-7P8RG	Old (60-79)
GTEX-15CHQ-0005-SM-7P8RH	Old (60-79)
GTEX-15D1Q-0006-SM-9KNTN	Young (20-49)
GTEX-15DCD-0006-SM-7RHG4	Old (60-79)
GTEX-15DCE-0005-SM-7SB7J	Young (20-49)
GTEX-15DYW-0006-SM-7RHFR	Old (60-79)
GTEX-15DZA-0005-SM-9JGFP	Young (20-49)
GTEX-15ETS-0005-SM-9KNTJ	Young (20-49)
GTEX-15G19-0006-SM-9KNW6	Old (60-79)
GTEX-15G1A-0006-SM-7PC1Z	Young (20-49)
GTEX-15RIE-0006-SM-7MKF8	Old (60-79)
GTEX-15RIF-0005-SM-7RHGH	Young (20-49)
GTEX-15RIG-0006-SM-7PC1N	Young (20-49)
GTEX-15RJ7-0006-SM-7RHHM	Young (20-49)
GTEX-15RJE-0006-SM-7PC1J	Young (20-49)
GTEX-16BQI-0006-SM-7SB6K	Young (20-49)
GTEX-16MT8-0005-SM-7PBYO	Old (60-79)
GTEX-16MT9-0006-SM-7MXTU	Old (60-79)
GTEX-16NGA-0006-SM-9JGFQ	Young (20-49)
GTEX-16XZY-0006-SM-7SB99	Old (60-79)
GTEX-16XZZ-0006-SM-7MKF5	Old (60-79)
GTEX-16YQH-0006-SM-7P8OQ	Young (20-49)
GTEX-16Z82-0005-SM-7PBXZ	Old (60-79)
GTEX-178AV-0005-SM-9JGFM	Young (20-49)
GTEX-17EUY-0006-SM-7P8SB	Young (20-49)
GTEX-17EVP-0005-SM-7P8RC	Young (20-49)
GTEX-17EVQ-0006-SM-7MGWB	Old (60-79)
GTEX-17GQL-0005-SM-7MKF4	Old (60-79)
GTEX-17HG3-0006-SM-7MKFE	Young (20-49)
GTEX-17JCI-0005-SM-7P8OL	Old (60-79)
GTEX-17MFQ-0006-SM-7PBXP	Young (20-49)
GTEX-183FY-0005-SM-9KNTO	Young (20-49)
GTEX-183WM-0005-SM-9JGFW	Old (60-79)
GTEX-18A66-0005-SM-7SB6U	Old (60-79)
GTEX-18A6Q-0005-SM-9KNVX	Old (60-79)
GTEX-18A7B-0005-SM-7PC1D	Old (60-79)
GTEX-18D9A-0005-SM-7SB7H	Young (20-49)
GTEX-18D9B-0005-SM-7PBYL	Old (60-79)
GTEX-18D9U-0006-SM-7SB6M	Young (20-49)
GTEX-18QFQ-0006-SM-7SB6X	Young (20-49)
GTEX-1A3MV-0005-SM-7PC1O	Young (20-49)
GTEX-1A3MW-0006-SM-7MKGU	Old (60-79)
GTEX-1A3MX-0005-SM-7MGW7	Old (60-79)
GTEX-1A8G6-0006-SM-7PC1X	Old (60-79)
GTEX-1A8G7-0006-SM-7P8RM	Old (60-79)
GTEX-1AMEY-0005-SM-7PBYK	Young (20-49)
GTEX-1AX8Z-0006-SM-9KNVB	Old (60-79)
GTEX-1AX9I-0005-SM-9MQKI	Old (60-79)
GTEX-1AX9J-0005-SM-9MQKU	Old (60-79)
GTEX-1B8L1-0005-SM-9MQK6	Old (60-79)
GTEX-1B8SF-0005-SM-7MGVK	Old (60-79)
GTEX-1B932-0005-SM-9KNTP	Young (20-49)
GTEX-1B97I-0005-SM-7PC1M	Young (20-49)
GTEX-1B996-0006-SM-7P8OS	Old (60-79)
GTEX-1BAJH-0005-SM-7PC1R	Old (60-79)
GTEX-1C475-0006-SM-9MQL7	Young (20-49)
GTEX-1C4CL-0005-SM-7MKF3	Young (20-49)
GTEX-1C64O-0006-SM-7PC22	Old (60-79)
GTEX-1C6VR-0005-SM-7MKF7	Old (60-79)
GTEX-1C6VS-0005-SM-7MGWG	Old (60-79)
GTEX-1CAMR-0006-SM-ACKV5	Young (20-49)
GTEX-1CAMS-0005-SM-ARL6Y	Young (20-49)
GTEX-1CB4E-0005-SM-ADEGS	Old (60-79)
GTEX-1CB4G-0006-SM-AHZ22	Old (60-79)
GTEX-1CB4H-0006-SM-A96RE	Old (60-79)
GTEX-1CB4J-0006-SM-ACKV6	Old (60-79)
GTEX-1EH9U-0005-SM-ACKV3	Old (60-79)
GTEX-1EKGG-0005-SM-AHZ1Z	Old (60-79)
GTEX-1EMGI-0006-SM-ACKVA	Old (60-79)
GTEX-1EN7A-0006-SM-AHZ4O	Young (20-49)
GTEX-1EU9M-0006-SM-ARU6I	Old (60-79)
GTEX-1EWIQ-0005-SM-ADEHB	Old (60-79)
GTEX-1F52S-0006-SM-ARL6X	Old (60-79)
GTEX-1F6I4-0005-SM-ARZKZ	Old (60-79)
GTEX-1F6IF-0005-SM-ARU6K	Old (60-79)
GTEX-1F75I-0005-SM-ADEHC	Young (20-49)
GTEX-1F75W-0005-SM-A9SMP	Old (60-79)
GTEX-1F7RK-0006-SM-ACKV4	Young (20-49)
GTEX-1F88F-0005-SM-A9SK2	Old (60-79)
GTEX-1GF9U-0005-SM-A9SK1	Young (20-49)
GTEX-1GF9V-0006-SM-A96RD	Old (60-79)
GTEX-1GF9W-0006-SM-ARZL1	Old (60-79)
GTEX-1GF9X-0005-SM-A9G3R	Young (20-49)
GTEX-1GMR3-0005-SM-ADEGR	Young (20-49)
GTEX-1GN1V-0006-SM-ADEHD	Old (60-79)
GTEX-1GN2E-0005-SM-ARU6L	Old (60-79)
GTEX-1GN73-0005-SM-ACKVI	Old (60-79)
GTEX-1GPI6-0005-SM-ADEGT	Old (60-79)
GTEX-1GPI7-0005-SM-A9G13	Young (20-49)
GTEX-1GTWX-0006-SM-ARZL3	Old (60-79)
GTEX-1GZ2Q-0005-SM-ARL71	Young (20-49)
GTEX-1H11D-0005-SM-ACKV7	Young (20-49)
GTEX-1H1CY-0005-SM-A9G15	Old (60-79)
GTEX-1H1DE-0005-SM-A9SK4	Young (20-49)
GTEX-1H1DF-0005-SM-ADEGU	Young (20-49)
GTEX-1H1DG-0006-SM-ARZL4	Old (60-79)
GTEX-1H1E6-0005-SM-ARZL5	Young (20-49)
GTEX-1H23P-0005-SM-A9G14	Old (60-79)
GTEX-1H3NZ-0005-SM-A96RG	Old (60-79)
GTEX-1H3O1-0005-SM-ACKV8	Old (60-79)
GTEX-1HBPM-0006-SM-A9SKK	Old (60-79)
GTEX-1HC8U-0005-SM-ADEGV	Young (20-49)
GTEX-1HCU6-0005-SM-AHZ28	Old (60-79)
GTEX-1HCU8-0005-SM-A96RL	Old (60-79)
GTEX-1HCU9-0005-SM-A9G1A	Young (20-49)
GTEX-1HFI6-0005-SM-A9SK6	Young (20-49)
GTEX-1HKZK-0005-SM-ARL73	Young (20-49)
GTEX-1HR98-0005-SM-A9SKM	Old (60-79)
GTEX-1HR9M-0005-SM-AHZ26	Old (60-79)
GTEX-1HSGN-0006-SM-ACKVH	Young (20-49)
GTEX-1HSKV-0006-SM-ARZL9	Old (60-79)
GTEX-1HSMO-0005-SM-ADEGW	Old (60-79)
GTEX-1HSMP-0006-SM-AHZ25	Old (60-79)
GTEX-1HT8W-0006-SM-A9G17	Young (20-49)
GTEX-1HUB1-0005-SM-ARL74	Old (60-79)
GTEX-1I19N-0006-SM-A9G18	Old (60-79)
GTEX-1I1CD-0005-SM-ADEGY	Old (60-79)
GTEX-1I1GR-0006-SM-ARL75	Old (60-79)
GTEX-1I1GS-0005-SM-DHXIW	Old (60-79)
GTEX-1I1GT-0005-SM-A9SK5	Old (60-79)
GTEX-1I1GV-0005-SM-AHZ27	Old (60-79)
GTEX-1I1HK-0005-SM-ARZL8	Old (60-79)
GTEX-1I6K6-0006-SM-ARZLA	Young (20-49)
GTEX-1I6K7-0005-SM-ARL72	Young (20-49)
GTEX-1ICG6-0006-SM-A96RH	Old (60-79)
GTEX-1IDFM-0005-SM-ADEGX	Old (60-79)
GTEX-1IDJD-0006-SM-ARZLC	Young (20-49)
GTEX-1IDJF-0005-SM-ARU6P	Young (20-49)
GTEX-1IDJH-0006-SM-CMKFT	Old (60-79)
GTEX-1IDJU-0006-SM-CMKFK	Old (60-79)
GTEX-1IE54-0005-SM-CMKFQ	Young (20-49)
GTEX-1IGQW-0005-SM-CMKFR	Old (60-79)
GTEX-1IKJJ-0005-SM-CMKFS	Old (60-79)
GTEX-1IKK5-0006-SM-CMKFI	Old (60-79)
GTEX-1IKOE-0005-SM-CMKFL	Young (20-49)
GTEX-1IKOH-0006-SM-CMKFM	Old (60-79)
GTEX-1IL2U-0006-SM-CMKFP	Old (60-79)
GTEX-1IL2V-0006-SM-CMKFN	Old (60-79)
GTEX-1IY9M-0005-SM-CNNOU	Old (60-79)
GTEX-1J8EW-0006-SM-CNNOW	Old (60-79)
GTEX-1J8JJ-0006-SM-CNNOX	Old (60-79)
GTEX-1J8Q2-0006-SM-CNNOZ	Old (60-79)
GTEX-1J8Q3-0005-SM-CNNOY	Old (60-79)
GTEX-1J8QM-0006-SM-CNNP1	Old (60-79)
GTEX-1JJ6O-0005-SM-DHXJ4	Old (60-79)
GTEX-1JJE9-0006-SM-CGQEB	Old (60-79)
GTEX-1JJEA-0006-SM-DHXJ2	Old (60-79)
GTEX-1JK1U-0006-SM-DHXJ3	Old (60-79)
GTEX-1JKYN-0006-SM-DHXJ5	Young (20-49)
GTEX-1JKYR-0005-SM-DHXL5	Young (20-49)
GTEX-1JMOU-0006-SM-DHXJ7	Old (60-79)
GTEX-1JMPY-0006-SM-DHXJ8	Young (20-49)
GTEX-1JMPZ-0006-SM-DHXJ9	Young (20-49)
GTEX-1JMQK-0005-SM-CNPOE	Old (60-79)
GTEX-1JN1M-0006-SM-DHXJE	Old (60-79)
GTEX-1JN6P-0005-SM-DIPEH	Old (60-79)
GTEX-1JN76-0005-SM-EAZ3B	Young (20-49)
GTEX-1K2DU-0005-SM-DIPE8	Young (20-49)
GTEX-1KANA-0006-SM-9YFLB	Young (20-49)
GTEX-1KD4Q-0006-SM-DIPEA	Young (20-49)
GTEX-1KWVE-0005-SM-CYPSE	Young (20-49)
GTEX-1KXAM-0005-SM-DIPEC	Old (60-79)
GTEX-1LBAC-0005-SM-DIPEE	Young (20-49)
GTEX-1LC47-0005-SM-COH2J	Old (60-79)
GTEX-1LG7Z-0005-SM-DKPQ6	Young (20-49)
GTEX-1LGOU-0005-SM-DKPPW	Young (20-49)
GTEX-1LSVX-0005-SM-DKPPI	Old (60-79)
GTEX-1LVAO-0006-SM-CXZIU	Old (60-79)
GTEX-1M4P7-0005-SM-CXZIS	Old (60-79)
GTEX-1M5QR-0005-SM-DKPPP	Young (20-49)
GTEX-1MA7W-0006-SM-DKPPR	Young (20-49)
GTEX-1MA7X-0006-SM-CXZJ6	Old (60-79)
GTEX-1MCC2-0006-SM-DKPPJ	Young (20-49)
GTEX-1MCQQ-0005-SM-DKPPV	Old (60-79)
GTEX-1MCYP-0005-SM-DKPPK	Young (20-49)
GTEX-1MGNQ-0005-SM-CXZJ1	Young (20-49)
GTEX-1MJIX-0006-SM-DKPPU	Young (20-49)
GTEX-1MJK3-0006-SM-DKPP9	Young (20-49)
GTEX-1MUQO-0005-SM-DKPPT	Old (60-79)
GTEX-1N2EE-0005-SM-DKPP5	Old (60-79)
GTEX-1N2EF-0005-SM-CXZIL	Old (60-79)
GTEX-1N5O9-0006-SM-DKPPS	Old (60-79)
GTEX-1NUQO-0005-SM-DKPP2	Young (20-49)
GTEX-1NV8Z-0005-SM-DKPQ3	Old (60-79)
GTEX-1O97I-0005-SM-DKPPY	Old (60-79)
GTEX-1OFPY-0005-SM-DKPPZ	Old (60-79)
GTEX-1OJC3-0006-SM-DKPP1	Young (20-49)
GTEX-1OKEX-0006-SM-DKPQ2	Old (60-79)
GTEX-1PBJI-0005-SM-CJI1Y	Young (20-49)
GTEX-1PBJJ-0005-SM-CKZND	Young (20-49)
GTEX-1PDJ9-0006-SM-CY8GN	Young (20-49)
GTEX-1PFEY-0005-SM-CY8GO	Young (20-49)
GTEX-1PIEJ-0005-SM-DLZQL	Young (20-49)
GTEX-1PIGE-0005-SM-DLZQM	Young (20-49)
GTEX-1PIIG-0006-SM-DLZQF	Young (20-49)
GTEX-1POEN-0005-SM-DLZQN	Young (20-49)
GTEX-1PPH6-0005-SM-DLZQP	Old (60-79)
GTEX-1PPH7-0005-SM-CKZNE	Young (20-49)
GTEX-1PPH8-0006-SM-CY8GS	Young (20-49)
GTEX-1PWST-0005-SM-DLZQC	Old (60-79)
GTEX-1QCLY-0005-SM-DLZQS	Young (20-49)
GTEX-1QCLZ-0006-SM-CY8GW	Old (60-79)
GTEX-1QEPI-0006-SM-CY8GY	Old (60-79)
GTEX-1QMI2-0006-SM-CY8H1	Old (60-79)
GTEX-1QP67-0006-SM-CY8H5	Young (20-49)
GTEX-1QP9N-0005-SM-CY8H9	Young (20-49)
GTEX-1QPFJ-0006-SM-CY8HB	Young (20-49)
GTEX-1QW4Y-0005-SM-DO93W	Young (20-49)
GTEX-1R46S-0006-SM-DO93Y	Old (60-79)
GTEX-1R7EU-0006-SM-DO93C	Old (60-79)
GTEX-1R7EV-0005-SM-DO938	Young (20-49)
GTEX-1R9JW-0002-SM-DO93B	Young (20-49)
GTEX-1R9K4-0006-SM-CYPRM	Old (60-79)
GTEX-1R9PM-0006-SM-CYPTI	Young (20-49)
GTEX-1R9PN-0006-SM-DTX7L	Young (20-49)
GTEX-1R9PO-0006-SM-DO937	Old (60-79)
GTEX-1RAZA-0006-SM-CKZO9	Young (20-49)
GTEX-1RAZQ-0005-SM-DO93U	Young (20-49)
GTEX-1RAZR-0006-SM-DLHBR	Young (20-49)
GTEX-1RB15-0005-SM-CL53N	Old (60-79)
GTEX-1RNTQ-0006-SM-CYPRG	Young (20-49)
GTEX-1RQEC-0006-SM-CL542	Old (60-79)
GTEX-1RQED-0005-SM-DO11Z	Old (60-79)
GTEX-1S5VW-0005-SM-CYPS4	Old (60-79)
GTEX-1S5ZA-0005-SM-CYPS2	Young (20-49)
GTEX-1S5ZU-0005-SM-CYPS3	Young (20-49)
GTEX-1S82P-0005-SM-CM2RX	Old (60-79)
GTEX-1S82U-0005-SM-CYPRW	Young (20-49)
GTEX-1S82Y-0005-SM-DO123	Young (20-49)
GTEX-1S82Z-0006-SM-DLHC5	Young (20-49)
GTEX-1S831-0006-SM-DLHC1	Young (20-49)
GTEX-1S83E-0006-SM-DLHBW	Young (20-49)
GTEX-N7MS-0007-SM-2D7W1	Old (60-79)
GTEX-N7MT-0007-SM-3GACQ	Old (60-79)
GTEX-NFK9-0006-SM-3GACS	Young (20-49)
GTEX-NPJ7-0006-SM-3GACR	Old (60-79)
GTEX-NPJ8-0007-SM-2D7VX	Young (20-49)
GTEX-O5YT-0007-SM-32PK7	Young (20-49)
GTEX-OHPL-0006-SM-3MJHB	Old (60-79)
GTEX-OHPN-0005-SM-2YUML	Old (60-79)
GTEX-OIZF-0006-SM-2I5GQ	Old (60-79)
GTEX-OIZI-0005-SM-2XCED	Young (20-49)
GTEX-OOBJ-0006-SM-2I3F4	Old (60-79)
GTEX-OOBK-0005-SM-2YUMG	Young (20-49)
GTEX-OXRO-0006-SM-2I5EM	Old (60-79)
GTEX-OXRP-0006-SM-2I3FN	Old (60-79)
GTEX-P44G-0006-SM-2TC6A	Young (20-49)
GTEX-P44H-0006-SM-2XCFB	Young (20-49)
GTEX-P4PP-0005-SM-2HMKX	Young (20-49)
GTEX-P4PQ-0005-SM-2HMKJ	Old (60-79)
GTEX-P4QS-0005-SM-2I3EY	Old (60-79)
GTEX-P78B-0005-SM-2I5GM	Young (20-49)
GTEX-PLZ6-0006-SM-33HBZ	Young (20-49)
GTEX-POMQ-0006-SM-5SI7D	Young (20-49)
GTEX-POYW-0006-SM-2XCF4	Old (60-79)
GTEX-PVOW-0006-SM-3NMB8	Young (20-49)
GTEX-PW2O-0006-SM-2I3DV	Young (20-49)
GTEX-PWCY-0005-SM-DHXL3	Young (20-49)
GTEX-PWN1-0006-SM-CYPR2	Young (20-49)
GTEX-PX3G-0006-SM-5SI7E	Young (20-49)
GTEX-Q2AG-0005-SM-5SI7F	Young (20-49)
GTEX-Q2AH-0005-SM-33HBR	Young (20-49)
GTEX-Q2AI-0006-SM-2I3FG	Young (20-49)
GTEX-Q734-0006-SM-2I3FJ	Young (20-49)
GTEX-QDT8-0006-SM-CXZJC	Young (20-49)
GTEX-QEG4-0006-SM-2I5FY	Young (20-49)
GTEX-QEG5-0006-SM-2I5FZ	Young (20-49)
GTEX-QESD-0006-SM-2I5G6	Young (20-49)
GTEX-QLQ7-0005-SM-2S1QP	Old (60-79)
GTEX-QLQW-0005-SM-2S1RA	Young (20-49)
GTEX-QV31-0006-SM-793B5	Young (20-49)
GTEX-QVJO-0006-SM-2S1RC	Old (60-79)
GTEX-QVUS-0006-SM-3GAE8	Old (60-79)
GTEX-R3RS-0005-SM-3GAEH	Young (20-49)
GTEX-R45C-0006-SM-3GAD6	Old (60-79)
GTEX-R55C-0005-SM-3GAE9	Young (20-49)
GTEX-R55E-0006-SM-2TC5G	Young (20-49)
GTEX-R55G-0006-SM-2TC6O	Young (20-49)
GTEX-REY6-0005-SM-2TF54	Old (60-79)
GTEX-RTLS-0006-SM-2TF58	Old (60-79)
GTEX-RU1J-0006-SM-2TF6M	Young (20-49)
GTEX-RVPV-0006-SM-2TF6Q	Old (60-79)
GTEX-RWS6-0005-SM-2XCAN	Old (60-79)
GTEX-RWSA-0005-SM-2XCAO	Young (20-49)
GTEX-S33H-0005-SM-2XCAL	Young (20-49)
GTEX-S341-0006-SM-3NM8D	Young (20-49)
GTEX-S7PM-0006-SM-3NM8C	Old (60-79)
GTEX-S95S-0005-SM-2XCEC	Old (60-79)
GTEX-SE5C-0006-SM-4BRW5	Young (20-49)
GTEX-SJXC-0005-SM-2XCE7	Old (60-79)
GTEX-SNMC-0006-SM-2XCFE	Young (20-49)
GTEX-SNOS-0006-SM-32PLH	Young (20-49)
GTEX-SSA3-0005-SM-32QOT	Old (60-79)
