	age
GTEX-WYVS-0006-SM-3NMA7	Young (20-49)
GTEX-WZTO-0006-SM-3NM9T	Young (20-49)
GTEX-X3Y1-0006-SM-3P5ZG	Young (20-49)
GTEX-X4EO-0006-SM-3P5ZF	Old (60-79)
GTEX-X4EP-0005-SM-3P5ZE	Old (60-79)
GTEX-X4XX-0005-SM-3NMCS	Old (60-79)
GTEX-X4XY-0006-SM-46MV2	Old (60-79)
GTEX-X5EB-0006-SM-46MV5	Young (20-49)
GTEX-X638-0005-SM-47JX6	Old (60-79)
GTEX-X88G-0006-SM-47JX5	Young (20-49)
GTEX-XAJ8-0006-SM-46MVM	Young (20-49)
GTEX-XBED-0006-SM-47JXO	Old (60-79)
GTEX-XBEW-0006-SM-4AT4E	Young (20-49)
GTEX-XK95-0005-SM-4AT4S	Young (20-49)
GTEX-XLM4-0005-SM-4AT4P	Old (60-79)
GTEX-XMD1-0006-SM-4AT4Q	Old (60-79)
GTEX-XMD2-0006-SM-4WWEG	Old (60-79)
GTEX-XMK1-0005-SM-4B665	Young (20-49)
GTEX-XOT4-0005-SM-4B64S	Old (60-79)
GTEX-XPT6-0006-SM-4B66Q	Young (20-49)
GTEX-XQ3S-0006-SM-4BOQ4	Young (20-49)
GTEX-XUZC-0005-SM-4BOQ8	Young (20-49)
GTEX-XYKS-0005-SM-4BRUD	Old (60-79)
GTEX-Y5LM-0005-SM-4V6EJ	Young (20-49)
GTEX-Y5V5-0006-SM-4V6FE	Old (60-79)
GTEX-Y5V6-0005-SM-4V6FD	Old (60-79)
GTEX-Y8DK-0005-SM-4RGNR	Old (60-79)
GTEX-Y8E4-0006-SM-4V6EW	Young (20-49)
GTEX-Y8E5-0006-SM-47JWQ	Old (60-79)
GTEX-Y9LG-0006-SM-4VBRK	Young (20-49)
GTEX-YB5E-0005-SM-4VDSO	Young (20-49)
GTEX-YB5K-0005-SM-4VDSP	Young (20-49)
GTEX-YEC4-0001-SM-4W1Y6	Young (20-49)
GTEX-YECK-0005-SM-4W217	Old (60-79)
GTEX-YFC4-0006-SM-4RGLV	Young (20-49)
GTEX-YFCO-0005-SM-4W1ZI	Young (20-49)
GTEX-ZAB4-0005-SM-4RGM8	Young (20-49)
GTEX-ZC5H-0005-SM-4WAXM	Young (20-49)
GTEX-ZDTS-0006-SM-4WAYZ	Old (60-79)
GTEX-ZDTT-0006-SM-4WKFP	Old (60-79)
GTEX-ZDXO-0006-SM-4WKGF	Old (60-79)
GTEX-ZE9C-0006-SM-4WKG2	Old (60-79)
GTEX-ZF28-0005-SM-4WKH3	Old (60-79)
GTEX-ZF29-0006-SM-4WKGQ	Old (60-79)
GTEX-ZGAY-0006-SM-4WWAQ	Young (20-49)
GTEX-ZLV1-0005-SM-4WWAP	Old (60-79)
GTEX-ZP4G-0006-SM-4WWE6	Young (20-49)
GTEX-ZPCL-0006-SM-4WWAS	Old (60-79)
GTEX-ZPIC-0005-SM-4WWEB	Young (20-49)
GTEX-ZPU1-0006-SM-4WWAT	Young (20-49)
GTEX-ZQG8-0005-SM-4YCEH	Old (60-79)
GTEX-ZQUD-0005-SM-4YCE5	Young (20-49)
GTEX-ZTPG-0006-SM-4YCFG	Young (20-49)
GTEX-ZTSS-0005-SM-4YCDR	Young (20-49)
GTEX-ZTX8-0006-SM-4YCE4	Young (20-49)
GTEX-ZUA1-0005-SM-4YCEV	Young (20-49)
GTEX-ZVT3-0006-SM-51MT9	Old (60-79)
GTEX-ZVTK-0006-SM-57WBK	Young (20-49)
GTEX-ZVZQ-0006-SM-51MR8	Old (60-79)
GTEX-ZXES-0005-SM-57WCB	Young (20-49)
GTEX-ZXG5-0005-SM-57WCN	Old (60-79)
