CXCL8	-7.402076802646981
HILPDA	-5.92633704129673
JUN	-5.078122307582836
CCL3	-4.807940767227
DUSP2	-4.500322606916997
PRG2	-4.0914809648442425
CCL4	-3.839536752796203
HBEGF	-3.822813924742663
VEGFA	-3.5502924907971547
IL1R2	3.479209365120049
CCL4L2	-3.4319260078889124
TLR5	3.4185042137780446
PRF1	-3.403032838515397
CD83	-3.383236301886482
GZMB	-3.3562652180776347
IFNG	-3.2844651890338117
PRG3	-3.27444599732335
RHOB	-3.231106437031464
LTF	-3.203247314464962
DUSP5	-3.1751931990989455
PTGS2	-3.173367244960967
IL2RB	-3.1543282627333245
TNFSF9	-3.140401132087354
GNLY	-3.1282368887777494
TLR8	3.116178396243795
KREMEN1	3.1096769578849273
NLRC4	3.0120023644255145
EREG	-3.0051343170796585
GZMH	-2.9766879316058823
PTAFR	2.9335133489166907
NFAM1	2.8985284099275557
KIR3DL2	-2.88509994457093
KBTBD7	2.858558002929656
TNFAIP8L2	2.8561743005728832
KIR2DL1	-2.8273709161476948
SPP1	-2.7179514035345225
KIR3DL1	-2.7080523067345084
SH2D1B	-2.7067234666108897
AZU1	-2.7053894442536777
KIR2DL3	-2.675449734288227
EGR1	-2.6715901445323054
RUNX3	-2.6556755646133574
XCL2	-2.642083695168573
CCL3L3	-2.6089648737588895
NUDT16	2.598255363313843
CTSG	-2.5868617830262686
GADD45G	-2.5861303201895787
TPST1	2.548519684740258
NLRP12	2.526625060551183
SERPINE1	-2.500988000371539
XCL1	-2.4825732929027433
IL12RB2	-2.478369270033914
TBX21	-2.4488670014133938
OSM	-2.4431868577976292
TMIGD3	2.4421561512941263
KLRB1	-2.4317027218803453
DUSP4	-2.4268648744440613
DUSP10	-2.4176429705617224
NCAM1	-2.401873323064076
TREML2	2.3899721495785595
ALOX15B	2.3718969857544403
TUBA1A	2.346400428099086
ELANE	-2.343138809076285
APOE	-2.340566389463813
LEP	-2.336167421542335
APOA2	-2.326610693236848
ZNF331	-2.322186313670846
MMP25	2.2922544201834913
TNFRSF18	-2.2770558221807953
PMAIP1	-2.2647694430869088
CD8A	-2.259876643416323
FOS	-2.251775490559062
ALOX15	-2.2472268932141537
SLAMF7	-2.2368932347444446
SLA2	-2.2353978596806545
CD160	-2.2196283975761597
S100A12	2.2181403158920396
CARD11	-2.2149103375528316
NCR3	-2.2073907675211366
CCR2	2.20662675035865
