KCNJ2	3.660843458177105
VEGFA	-3.3585038490902868
BAG3	-3.1509263259781024
TNFSF10	3.1156205560719616
MRVI1	3.015196812687403
BHLHE40	-2.9367790481371188
IFNG	-2.915867940355885
ECHDC3	2.824005519648656
FOLR3	2.773155049046524
SNAI1	-2.767858496719078
AMPH	2.765623976214605
MANSC1	2.7241571513952483
IMPA2	2.6734091972941663
TMEM119	2.55709584502127
APOC1	-2.511033872216509
ALOX15B	2.445722950675864
EGR1	-2.4263389554212678
FKBP5	2.3976888250158126
SERPINE1	-2.3927702959119204
SLC31A2	2.3605130654864794
CD163L1	2.291593437335375
SORT1	2.2465733279807925
GPER1	2.207184910644303
DRAM1	2.154926331108676
TPX2	-2.1413180167285377
CDT1	-2.103665654325754
DUSP10	-2.085978644617894
NMI	2.085317840885523
HAUS4	2.074879387399113
TOP2A	-2.074430282438967
APH1B	2.0541992770020006
SLC46A3	2.047837406251656
PYCARD	2.020828485441548
IRAK3	2.0073562120366546
BTG3	-2.005467106708715
GPNMB	-1.976136589826937
ANGPTL4	-1.9623149083116376
MATK	-1.9571502435880213
PRSS23	-1.9381456701105977
HEG1	-1.937691170775886
THBS1	-1.9113643643719325
MAP2K6	1.8911146120906324
FOS	-1.8880868590825024
LRP10	1.8780637244785776
RRM2	-1.8652746637586821
RNASEL	1.863258745002918
CPPED1	1.857091459446167
CDKN1A	-1.842546618952035
TNFRSF21	-1.8363523462767208
CDK5RAP2	1.8233273225550448
ERRFI1	-1.8144105665483723
FAM129A	1.8081736153917785
HK3	1.7740142801118353
ITM2B	1.7739172530982756
DHRS3	-1.759728209951458
DTL	-1.7568752521536428
HTRA3	-1.7552200619909266
KIF18B	-1.7531132975301649
TROAP	-1.7409793304180816
KIF2C	-1.7263365648758535
MAPK14	1.7231917525989697
RMI1	1.7216025403921664
H1FX	-1.7183264434565135
KIAA0930	1.6964704386118257
TPM2	-1.6949334055187588
CDC20	-1.6921078781732888
HAT1	1.681470407466076
LPCAT2	1.6649597623362329
MDM2	1.663254868344774
MKI67	-1.6590775414412233
MYBL2	-1.6537551440523526
SCD	-1.6535038293378719
TYMS	-1.6479485871258852
ARPC1B	1.6441905589175256
KIFC1	-1.6439265893700687
BGN	-1.6272536173864571
STS	1.6264010942204026
TGM2	-1.5951342284830172
CDKN1C	-1.5944320375013943
CXCL12	-1.5838132157687435
